unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1.64902E+12,4/3/2022 21:00,MATIC/USD,1.6689,1.68774,1.66844,1.68724,77025.05784,129959.7586
1.64902E+12,4/3/2022 22:00,MATIC/USD,1.68724,1.71346,1.68528,1.69435,142771.0101,241904.0609
1.64903E+12,4/3/2022 23:00,MATIC/USD,1.69435,1.69806,1.68228,1.68862,57824.40458,97643.44605
1.64903E+12,4/4/2022 0:00,MATIC/USD,1.68862,1.68965,1.65612,1.65918,109252.3922,181269.384
1.64903E+12,4/4/2022 1:00,MATIC/USD,1.65918,1.66956,1.65344,1.66327,67056.16642,111532.5099
1.64904E+12,4/4/2022 2:00,MATIC/USD,1.66327,1.6746,1.6593,1.67435,15245.19379,25525.79022
1.64904E+12,4/4/2022 3:00,MATIC/USD,1.67435,1.68,1.66483,1.66493,66422.19446,110588.3042
1.64904E+12,4/4/2022 4:00,MATIC/USD,1.66493,1.67145,1.66082,1.66512,21664.68814,36074.30552
1.64905E+12,4/4/2022 5:00,MATIC/USD,1.66512,1.67756,1.66485,1.67703,24418.44356,40950.4624
1.64905E+12,4/4/2022 6:00,MATIC/USD,1.67703,1.67989,1.67261,1.67733,23933.70938,40144.72875
1.64906E+12,4/4/2022 7:00,MATIC/USD,1.67733,1.68837,1.67432,1.68449,56289.12802,94818.47326
1.64906E+12,4/4/2022 8:00,MATIC/USD,1.68449,1.68449,1.67104,1.67996,7345.939877,12340.88516
1.64906E+12,4/4/2022 9:00,MATIC/USD,1.67996,1.67998,1.66165,1.66367,4544.761143,7560.982771
1.64907E+12,4/4/2022 10:00,MATIC/USD,1.66367,1.66367,1.64674,1.65399,68213.28136,112824.0852
1.64907E+12,4/4/2022 11:00,MATIC/USD,1.65399,1.66291,1.648,1.66149,22255.75569,36977.71552
1.64907E+12,4/4/2022 12:00,MATIC/USD,1.66149,1.66858,1.64199,1.64518,151924.8242,249943.6823
1.64908E+12,4/4/2022 13:00,MATIC/USD,1.64518,1.65105,1.63383,1.64928,24264.07571,40018.25478
