unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.66839E+12,11/14/2022 3:00,SOL/USD,12.516,13.453,12.279,13.028,4524.632243,58946.90886
1.6684E+12,11/14/2022 4:00,SOL/USD,13.028,13.028,12.45,12.62,2001.263599,25255.94662
1.6684E+12,11/14/2022 5:00,SOL/USD,12.62,12.987,12.5,12.51,1696.746338,21226.29669
1.66841E+12,11/14/2022 6:00,SOL/USD,12.51,14.85,12.456,14.657,1568.331539,22987.03537
1.66841E+12,11/14/2022 7:00,SOL/USD,14.657,14.819,14.207,14.72,2151.206206,31665.75535
1.66841E+12,11/14/2022 8:00,SOL/USD,14.72,15.384,14.72,15.284,1553.478041,23743.35838
1.66842E+12,11/14/2022 9:00,SOL/USD,15.284,15.293,14.433,14.65,1317.446878,19300.59676
1.66842E+12,11/14/2022 10:00,SOL/USD,14.65,14.689,14.333,14.654,1761.113443,25807.35639
1.66842E+12,11/14/2022 11:00,SOL/USD,14.654,14.702,14.262,14.438,2055.429138,29676.28589
1.66843E+12,11/14/2022 12:00,SOL/USD,14.438,14.49,14.003,14.476,1947.910254,28197.94884
1.66843E+12,11/14/2022 13:00,SOL/USD,14.476,14.985,14.043,14.301,3385.584246,48417.2403
1.66843E+12,11/14/2022 14:00,SOL/USD,14.301,14.346,13.878,14.185,1740.754895,24692.60819
1.66844E+12,11/14/2022 15:00,SOL/USD,14.185,14.185,13.5,13.673,1018.832596,13930.49809
1.66844E+12,11/14/2022 16:00,SOL/USD,13.673,13.706,13.167,13.455,6107.583363,82177.53415
1.66845E+12,11/14/2022 17:00,SOL/USD,13.455,13.711,13.415,13.607,1458.104072,19840.42211
1.66845E+12,11/14/2022 18:00,SOL/USD,13.607,14.2,13.546,13.956,3540.38034,49409.54803
1.66845E+12,11/14/2022 19:00,SOL/USD,13.956,14.073,13.7,13.752,4256.041605,58529.08415
1.66846E+12,11/14/2022 20:00,SOL/USD,13.752,14.226,13.712,13.976,1624.412666,22702.79142
1.66846E+12,11/14/2022 21:00,SOL/USD,13.976,14.098,13.854,13.9,1169.722823,16259.14724
1.66846E+12,11/14/2022 22:00,SOL/USD,13.9,13.919,13.61,13.699,2426.713323,33243.54581
1.66847E+12,11/14/2022 23:00,SOL/USD,13.699,14.152,13.699,13.934,1867.798758,26025.90789
1.66847E+12,11/15/2022 0:00,SOL/USD,13.934,14.445,13.84,13.842,2018.997194,27946.95916
1.66847E+12,11/15/2022 1:00,SOL/USD,13.842,15.611,13.842,13.973,6810.141322,95158.10469
1.66848E+12,11/15/2022 2:00,SOL/USD,13.973,14.233,13.932,14.202,901.506059,12803.18905
1.66848E+12,11/15/2022 3:00,SOL/USD,14.202,14.312,14.157,14.186,1441.381621,20447.43968
1.66848E+12,11/15/2022 4:00,SOL/USD,14.186,14.21,13.997,14.057,1086.09021,15267.17008
1.66849E+12,11/15/2022 5:00,SOL/USD,14.057,14.13,13.919,13.944,837.969754,11684.65025
1.66849E+12,11/15/2022 6:00,SOL/USD,13.944,14.271,13.944,14.23,1569.822795,22338.57837
1.6685E+12,11/15/2022 7:00,SOL/USD,14.23,14.767,14.22,14.623,3216.203484,47030.54355
1.6685E+12,11/15/2022 8:00,SOL/USD,14.623,15.007,14.56,14.894,671.572368,10002.39885
1.6685E+12,11/15/2022 9:00,SOL/USD,14.894,15.036,14.615,14.658,542.708157,7955.016165
1.66851E+12,11/15/2022 10:00,SOL/USD,14.658,14.791,14.648,14.695,175.806662,2583.478898
1.66851E+12,11/15/2022 11:00,SOL/USD,14.695,14.897,14.615,14.615,381.670946,5578.120876
1.66851E+12,11/15/2022 12:00,SOL/USD,14.615,15.48,14.615,15.331,1635.105917,25067.80881
1.66852E+12,11/15/2022 13:00,SOL/USD,15.331,15.48,14.824,14.946,2115.842346,31623.3797
1.66852E+12,11/15/2022 14:00,SOL/USD,14.946,18,14.546,14.619,14260.27105,208470.9025
1.66852E+12,11/15/2022 15:00,SOL/USD,14.619,14.672,14.083,14.361,7587.52291,108964.4165
1.66853E+12,11/15/2022 16:00,SOL/USD,14.361,14.537,14.247,14.445,3302.586111,47705.85637
1.66853E+12,11/15/2022 17:00,SOL/USD,14.445,14.601,14.368,14.451,7779.084482,112415.5498
1.66854E+12,11/15/2022 18:00,SOL/USD,14.451,14.479,14.018,14.201,4522.412728,64222.78315
1.66854E+12,11/15/2022 19:00,SOL/USD,14.201,14.422,14.036,14.314,4757.533624,68099.33629
1.66854E+12,11/15/2022 20:00,SOL/USD,14.314,14.428,14.224,14.405,2202.311464,31724.29664
1.66855E+12,11/15/2022 21:00,SOL/USD,14.405,14.445,14.244,14.315,1686.286436,24139.19033
1.66855E+12,11/15/2022 22:00,SOL/USD,14.315,14.38,14.147,14.201,1106.86382,15718.57311
1.66855E+12,11/15/2022 23:00,SOL/USD,14.201,14.369,14.121,14.279,3161.875194,45148.4159
1.66856E+12,11/16/2022 0:00,SOL/USD,14.279,14.387,14.092,14.1,2993.783026,42212.34067
1.66856E+12,11/16/2022 1:00,SOL/USD,14.1,14.329,14.1,14.329,2315.292386,33175.8246
1.66856E+12,11/16/2022 2:00,SOL/USD,14.329,14.545,14.268,14.545,1077.896965,15678.01136
1.66857E+12,11/16/2022 3:00,SOL/USD,14.545,14.606,14.473,14.555,254.190323,3699.740151
1.66857E+12,11/16/2022 4:00,SOL/USD,14.555,14.555,14.418,14.418,282.201751,4068.784846
1.66857E+12,11/16/2022 5:00,SOL/USD,14.418,14.531,14.38,14.482,3251.90256,47094.05287
1.66858E+12,11/16/2022 6:00,SOL/USD,14.482,14.582,14.274,14.343,1867.303206,26782.72988
1.66858E+12,11/16/2022 7:00,SOL/USD,14.343,14.447,14.32,14.32,478.526308,6852.496731
1.66859E+12,11/16/2022 8:00,SOL/USD,14.32,14.62,14.13,14.24,6386.415052,90942.55034
1.66859E+12,11/16/2022 9:00,SOL/USD,14.24,14.329,14.08,14.2,1554.645024,22075.95934
1.66859E+12,11/16/2022 10:00,SOL/USD,14.2,14.237,14.077,14.115,1451.403347,20486.55824
1.6686E+12,11/16/2022 11:00,SOL/USD,14.115,14.275,14.11,14.15,2980.299074,42171.2319
1.6686E+12,11/16/2022 12:00,SOL/USD,14.15,14.194,14,14.121,4523.502445,63876.37803
1.6686E+12,11/16/2022 13:00,SOL/USD,14.121,14.221,13.84,13.875,11074.93079,153664.6647
1.66861E+12,11/16/2022 14:00,SOL/USD,13.875,13.95,13.644,13.749,7945.508534,109242.7968
1.66861E+12,11/16/2022 15:00,SOL/USD,13.749,13.91,13.515,13.761,27743.85947,381783.2502
1.66861E+12,11/16/2022 16:00,SOL/USD,13.761,13.927,13.63,13.915,4411.497557,61385.98851
1.66862E+12,11/16/2022 17:00,SOL/USD,13.915,14.133,13.631,13.91,8773.642095,122041.3615
1.66862E+12,11/16/2022 18:00,SOL/USD,13.91,14.235,13.65,14.16,5555.040568,78659.37444
1.66863E+12,11/16/2022 19:00,SOL/USD,14.16,14.177,14.009,14.086,4770.028433,67190.62051
1.66863E+12,11/16/2022 20:00,SOL/USD,14.086,14.21,14.086,14.164,1220.185249,17282.70387
1.66863E+12,11/16/2022 21:00,SOL/USD,14.164,14.321,14.12,14.129,4184.968895,59129.42552
1.66864E+12,11/16/2022 22:00,SOL/USD,14.129,14.302,14.093,14.282,3503.888204,50042.53133
1.66864E+12,11/16/2022 23:00,SOL/USD,14.282,14.399,14.213,14.258,5195.934968,74083.64077
1.66864E+12,11/17/2022 0:00,SOL/USD,14.258,14.499,14.228,14.402,1457.958052,20997.51186
1.66865E+12,11/17/2022 1:00,SOL/USD,14.402,14.47,14.305,14.431,2122.629293,30631.66333
1.66865E+12,11/17/2022 2:00,SOL/USD,14.431,14.476,14.216,14.216,1527.694428,21717.70399
